"id","url","author","job_title","time","content","reactions","comments","impressions"
"urn:li:activity:7350924399534923776",,"Sundar PichaiSundar Pichai","","","A milestone for the use of AI in cybersecurity: Our security AI agent, Big Sleep, proactively found a major vulnerability in SQLite, a popular open-source library, that attackers were about to exploit. Our teams were able to cut off the threat before it impacted users. We believe this is a first for AI in cybersecurity, which could go a long way in stopping threats before they become widespread. More from our recent AI security work: https://lnkd.in/eQKMsF-z","10,988","630 comments",""
"urn:li:activity:7345485832931229697",,"Sundar PichaiSundar Pichai","","","Fusion energy could help meet the world’s energy needs for generations to come. That’s why we’re making a long-term bet to help prove and scale it, in the same way we’re doing for nuclear energy from small modular reactors and geothermal. To start, we’re making the largest direct corporate purchase of fusion power from Commonwealth Fusion Systems’s future plant. We’re also investing to help them build on promising breakthroughs. For example, their high-temperature superconductor magnets can be used by smaller machines, which are significantly cheaper and faster to build.The path to commercialization won’t be easy, but we think the upsides could be transformative. Read more here: https://lnkd.in/e5E_AYi4","6,969","585 comments",""
"urn:li:activity:7337199076850982912",,"Sundar PichaiSundar Pichai","","","Probably one of the longest interviews I’ve ever done 😅, but I really enjoyed my wide-ranging conversation with Lex Fridman and going deep on so many areas of technology progress. Plus Lex tries out our new XR glasses and Google Beam! You can watch our conversation here: https://lnkd.in/e7QfwcEi","7,933","592 comments",""
"urn:li:activity:7330681775884533760",,"Sundar PichaiSundar Pichai","","","Hello from Google I/O! Just got off the stage here at Shoreline Amphitheatre in Mountain View, where we shared how decades of AI research is becoming reality for people around the world. A few of the things we announced:- AI Mode in Search is now rolling out to everyone in the US, expanding on what AI Overviews can do.- An improved Gemini 2.5 Flash and an enhanced Deep Think mode coming to Gemini 2.5 Pro.- Veo 3 is state of the art, and with a new filmmaking tool Flow, we’re combining the best of Veo, Imagen and Gemini.- A new agent mode in the Gemini app can help you get more done across the web.- New real-time translation is coming to Google Meet, and we introduced an AI-first video platform for 3D experiences called Google Beam. - Personalized smart replies are coming to Gmail - A glimpse into the future with XR glassesWe also shared some of the incredible momentum we’re seeing with our models, the rapid adoption of AI across our products, and much more. Read everything we announced here: https://lnkd.in/ebjGNvzS","18,941","978 comments",""
"urn:li:activity:7329256415162793984",,"Sundar PichaiSundar Pichai","","","It was great to sit down with David Friedberg from the All-In team for a wide-ranging conversation. Fun to reminisce and look ahead… from how we see a big opportunity with Search, the investments we’re making in our world-class infrastructure and TPUs, and how we’re leaning into these moments of massive innovation.Thanks again to David for the time. Link in the comments.","5,936","277 comments",""
"urn:li:activity:7242712223918231553",,"Sundar PichaiSundar Pichai","","","Yesterday I was in Pittsburgh, which is a really special place for me - one of the first cities I visited in the US and where we announced our Grow with Google economic opportunity initiative in 2017. I spent the day with the next generation of technologists, from high schoolers who are starting to explore STEM, to college students embarking on their computer science and technology careers.First stop - the Pittsburgh Google office where I spoke with students who shared STEM projects that they’re working on, and teachers who are exploring how to bring AI into their classrooms. As part of that, we announced a $25 million fund from Google.org for organizations that are helping educators and students across the US build their AI skills.Over at Carnegie Mellon University, students showed me around the Robotics Institute and the Mission Control Lab, where I got to see a model of Iris, the smallest rover ever to go to space (very cool). While there, I gave a talk about how AI is accelerating scientific discovery and chatted with President Farnam Jahanian and over 2,000 students. Super inspiring and can't wait to come back!","7,934","157 comments",""
"urn:li:activity:7239434843166552064",,"Sundar PichaiSundar Pichai","","","At Oracle hashtag#CloudWorld today, I joined Larry Ellison to talk about our multicloud partnership and how we’ve joined forces to help our customers. Enterprises can now run their Oracle databases and applications in Google Cloud, using Google AI. This is something that customers have been asking about for some time. Lots of opportunities ahead -- I look forward to continuing this work together and thanks for the great conversation!","4,082","126 comments",""
"urn:li:activity:7234968952584503296",,"Sundar PichaiSundar Pichai","","","Earlier this week, I had a great conversation with Doug McMillon during a visit with Walmart's global technology team. We covered everything from the potential of generative AI and how Walmart is using our Gemini models to improve discoverability on their site... to the partnership with Wing and Walmart to pilot drone deliveries… to my new Walmart+ subscription:) Walmart is an iconic global company, and I enjoyed my visit there. Thanks to the team for having me!","4,108","157 comments",""
"urn:li:activity:7228107147765596160",,"Sundar PichaiSundar Pichai","","","Yesterday we lost one of the most incredible leaders at Google -- and in the tech industry -- and a dear friend of mine. Susan Wojcicki’s passing is devastating for everyone who knew and loved her, and for the thousands of Googlers who benefited from her advocacy and leadership. Sharing the note that I sent to Googlers yesterday to honor her legacy. We’ll miss you, Susan, the world won’t be the same without you. https://lnkd.in/erNcdQP8","17,222","305 comments",""
"urn:li:activity:7206709100561219585",,"Sundar PichaiSundar Pichai","","","Yesterday we held our annual Google for Brazil event where we shared our latest AI advancements and investments focused on social, environmental and economic impact in Brazil. Great job to the teams in Brazil - parabéns!Yesterday I had the honor of joining my colleagues in São Paulo at our sixth annual","1,032","64 comments",""
"urn:li:activity:7203837983412604928",,"Sundar PichaiSundar Pichai","","","At Google, we want to help build a strong cybersecurity workforce to keep U.S. communities safe from threats and give Americans more pathways to careers in technology. That’s why last year I was proud to announce our Cybersecurity Clinics Fund, with an initial $20 million to support 20 cybersecurity clinics in higher education institutions across the US. In the same way that law or medical schools offer free community clinics, cybersecurity clinics provide students with opportunities to build career skills while providing an important service to their local communities. So far, 10 of those clinics have received funding and mentorship. In their first semester, more than 450 students have been working with 80 community organizations, including small businesses, fire departments, K-12 schools, and more.Based on the strength and diversity of applications, we’re expanding our commitment to $25M+ and sharing the next 15 clinics to receive funding — 25 clinics in total. We've selected schools from across the country with the goal of expanding access to cybersecurity education and services for a wide range of communities. We’re excited to see this initiative continue to help train the next generation of cybersecurity leaders while keeping communities safe.https://lnkd.in/eJ9NiCtE","3,436","113 comments",""
"urn:li:activity:7197015311219326976",,"Sundar PichaiSundar Pichai","","","What a fun way to close out hashtag#GoogleIO 2024! We brought thousands of Googlers to Shoreline Ampitheatre for a demo slam. We demo-ed, we cheered, we rocked.","4,147","99 comments",""
"urn:li:activity:7196363892216709120",,"Sundar PichaiSundar Pichai","","","Another hashtag#GoogleIO in the books! Well done to all of our speakers, and a huge thank you to the product teams who have been building the products and features we unveiled on stage, and the developers who joined us from around the world! We’ve been investing in AI for more than a decade, and last year we launched our Gemini models, our most capable yet. Today was about sharing the progress we’re making to bring Gemini’s multimodal, long context, and agentive capabilities to our products and developers. You can read everything we announced, including product news from Search, Photos, Android, Workspace and more.We are still in the early days of the AI platform shift. We see so much opportunity ahead, for creators, for developers, for startups, for everyone. Helping to create those opportunities is what drives us — and we’re excited for what’s ahead!https://lnkd.in/eMXa388X","4,443","243 comments",""
"urn:li:activity:7195964476708241408",,"Sundar PichaiSundar Pichai","","","For my first-ever LinkedIn post, I thought I’d share a sneak peek of the Shoreline Amphitheatre stage, as we put some finishing touches on our keynote for Google I/O tomorrow. Can’t wait to see those seats filled with developers from around the world who are building the next generation of AI experiences.Excited to join Demis Hassabis Elizabeth Reid Sissie H. James Manyikaand others on stage. We'll share how our Gemini models are bringing breakthrough AI capabilities to people through our products, as well as innovation across safety, research, infrastructure…we’re going to talk about it all. Tune in if you can — 10 a.m. PT tomorrow! https://io.google","8,070","268 comments",""
